details,filename_new
danah nielsen hostess albuquerque nm   challenge provide ongoing  organization utilize  assist development additional  professional advancement   hostess hop  greet customer monitor open din section clean table manage guest wait list answer telephone book reservation center representative   receive inbound call assist customer problem find resolution ensure customer satisfaction outbound call provide customer satisfaction service purchase provide prompt customer service follow appointment necessary server kelly brew pub   take order efficiently serve food drink remove dinnerware table responsibly serve alcohol state local requirement manage money transaction appropriately complete open closing procedure dictate establishment time sheet auditor consumer direct personal care   audit timesheets submit caregiver ensure completeness accuracy hour document daily submission form payroll computer time paycheck distribution deadline meet maintain caregiver file update company database change e caregiver demographic  receptionist need  central new mexico community college high school diploma sandia high school additional information  proven customer service   team player proficient aspect operate cash register money manage d microsoft excel outlook word,Resume DanahNielsen_26409
christopher brown west memphis ar obtain  organizational interpersonal  value utilized knowledge self motivate ability lead team collaborate team member follow instruction need d     malace hr production operator hino motor  present  team member distribute different car part production quota daily basis shift leader kentucky fry chicken  present prepare food accord order timely manner maintain clean  environment accord fda standard  shift leader team member provide quality customer service team member valley manufacturing logistics  meet daily production quota provide quality service consumer  high school diploma west memphis senior high school,Resume ChristopherBrown_30650
minnesota state park er security ranger seasonal time register nurse albert lea mn accomplish goal orient versatile registered nurse proven track record leadership performance rapidly change diverse environment hand team leader thirty year progressive success health care industry innovative problem solve ability excellent communication  level internally externally efficient organize customer center employee extensive knowledge  health wellness long term care case management patient assessment staff management recognize knowledgeable compassionate organize dedicate conscientious team member ed develop successful relationship patient member promote company core mission vision value      minnesota state park er security ranger seasonal time myre big island state park albert lea mn present assist operation park headquarters provide information excellent customer service conduct annual review material safety data sheet accordance osha conduct annual review aid supply ensure adequate supply available need complete require daily report include revenue income inventory record daily deposit complete park security patrol health wellness case manager health coach blue cross blue shield minnesota albert lea mn implement new health wellness program cargill albert lea minnesota serve chair facilitator site health wellness committee collective bargaining agreement facilitate health wellness activity initiatives place conduct person telephonic health coach chronic condition diabetes heart disease copd asthma place employee family member participate bcbs health plan assist member develop customized plan care goal produce positive clinical result promote high quality cost effective outcome conduct member  comprehensive medical health history receive referral identify blue cross identification system reach member utilizing clinical knowledge motivational interview behavioral modification technique document health data accord blue cross application protocol regulatory standard collaborate community resource initiative prepared documentation co facilitate ly collaborative corporate meeting develop document relate preventative care service health care health club option community encourage coordinate additional support multidisciplinary exist plan care lead optimal result register nurse case manager long term care consultation freeborn county public health albert lea mn conduct assessment client assist provide service goal remain home community determine eligibility state fund program prepare individual plan care service coordinate service collaborate multidisciplinary health care professional compile recorded client information state minnesota information system  service agreement state minnesota payment service provider collaborate manage care organization delivery service payment comply state federal regulation register nurse supervisor help hand homecare minnesota northwood ia supervise staff conduct health assessment documentation complete orientation new employee annual training enforce demonstrate compliance federal state local regulation set organize schedule client organize file paper developed implement evaluate individualized plan care protocol supervisory visit register nurse staff supervisory nurse thornecrest retirement community albert lea mn register nurse long term care assess patient status data collection documentation information prepare administer required medication supervise certified nursing assistant administer required medical treatment register nurse semcil home care rochester mn provide direct care variety client chronic post surgical condition proficient venipuncture complete medicare oasis form  associate degree register nurse riverland college austin mn s case management year leadership year patient  year patient assessment year customer service year supervisory  year long term care year home health care year certification bls   motivational interviewing navigate change mnchoices certify assessor strength finder additional information professional  district hospital faribault mn allina hospital owatonna mn o clinic health system naeve hospital albert lea mn community involvement leadership freeborn county community site wellness committee member,Resume MinnesotaStateParksWorkerSecurityRangerSeasonalParttime_32908
naveen net developer java developer bcbsm mi detroit mi year  develop web base internet intranet client server distributed architecture component orient architecture application java j ee technology proficient different software development methodology include waterfall agile scrum rational unified process rup extensive  j ee platform include develop end end application java servlets jsp ejb ajax spring strut hibernate jaxb jms jdbc web service  extensively flavor unix operate system like linux application development  multithreading serialization externalization collection generic proficiency develop mvc pattern base web application strut create form strut tile validates strut validation frame proficiency hibernate feature hql hibernate query language criterion query effectively use relational database prefer second level cache eh cache optimize performance proficiency develop mvc base application integration open source frame like strut spring object relational mapping technology like hibernate design develop jsps presentation layer html javascript cs javascript implement client validation hand  design implementation maintenance system architectures application server like weblogic websphere tomcat jboss  xml related technology xsl xslt dom sax  soap rest develop web service strong  knowledge end technology include java script frame angular j  deploy application application server like apache tomcat web sphere  oracle microsoft sql mysql microsoft access write pl sql store procedure function trigger  develop uml rational rise design object model use case activity diagram sequence diagram class diagram component diagram extensively ant tool building common component automation script code instrumentation script involve project involve c c     java developer bcbsm mi  present  benefit shift process shift process plan plan bcbsm insurance member base activity encourage healthier behavior manage condition improve outcome increase efficiency improve productivity reduce absenteeism underlie premise benefit shift incentive reward provide effective motivation member subscriber member subscriber complete activity time move enhanced plan move standard plan responsibility develop design application mvc frame strut frame easy maintainability involve analysis design development test maintenance phase software development life cycle sdlc benefit shift project develop action class action form class create jsps strut tag library configure strut config xml web xml file design ui screen jsp cs strut frame ajax java script html develop implement pojos hibernate db rad soap ui test request response application  develop web service class wsdl apache axis develop web service retrieve data legacy system develop web service component xml soap axis involve write dao service involve integrating application multi thread concept application dao dto singleton composite view design pattern app development involve deploy configure application web sphere deploy application region maven script bundle deploy log j component log application scm version control system check check code develop test case perform unit test junit creation database object like table view store procedure materialize view package oracle tool like pl sql developer putty log unix perform bootstrap check server log environment java jee spring hibernate strut jsp servlets jdbc sql pl sql db html xml cs rtc ajax javascript web sphere log j soap ui restful web service maven rad unix window java developer wal mart bentonville ar   java j ee developer aetna health inc kansa city mo    largest health insurance company state missouri new member web portal develop response increase member number increase service efficient add new service enable sso make portal informative interactive user friendly team involve  flight project support fix bug responsibility strut frame mvc design pattern action class action servlets form bean create jsp screen assemble strut tile taglibs html static webpage javascript view project eclipse ide write code beaweblogic application server implement simulate soap base web service test business logic rating calculation jdbc mq series web service hibernate frame access data end sql database server  strut tile ajax develop application implement persistence layer hibernate hibernate transaction manager maintain transaction persistence store procedure crunch data create view fetch data multiple table ms sql server java persistence api jpa manage relational data map spring frame implement bean declare service access application context jms send receive message application server involved develop application spring frame dependency injection inversion control implement business logic ejb session entity bean xml sax parse simulate xml file simulate test data svn version control log j log frame write log message level develop automate test application validates xml document junit xslt jrockit jdk develop run underwrite bench application gwtand migration follow agile methodology development process  dns map website ip address extensively gwt develop ajax application maven validate compile deploy file environment jdk java j ee ejb jsf hibernate jakarta strut spring jsp cs jstl jdbc servlets xml jrockit junit javascript v jms agile program eclipse gwt mssql server ajax axis web service jax ws bea weblogic server uml maven unix svn java developer coyote logistics chicago il    coyote offer incomparable supply chain service shipper north america coyote believe right thing time coyote exist bring better  logistics industry fastest grow transportation logistics service provider north america responsibility actively participate requirement gather analysis design test phase design use case diagram class diagram sequence diagram design phase rational rise develop application base mvc architecture integrate jsp hibernate strut frame design user interface java server page jsp cascade style sheet css xml develop enterprise java bean stateless session bean handle different transaction bill payment service provider  strut tile ajax develop application develop deployment descriptor ejb deploy web sphere application server implement service orient architecture soa jms send receive message create web service develop web service data transfer client server vice versa apache axis soap wsdl uddi extensively  mq series point point publisher subscriber messaging domains implement exchange information message develop xml document generate xsl file payment transaction reserve transaction system implement j ee design pattern like singleton service locator business delegate dao transfer object soa  ajax develop interactive web application javascript data validation subversion implement version control system build ant script application log j debug junit frame unit test java class environment java ee ejb jndi hibernate strut html javascript xml cs junit uml ireport web service soap wsdl uddi axis ajax ant eclipse ibm web sphere db subversion linux java developer state farm insurance chicago il    state farm insurance provider auto health home life insurance health insurance management system hims fully automate integrated application manage policy plan agent commission incur pay settlement insurance management system give information client policy detail premium rate monitor policy delay payment manage different claim policy claim settlement allow coverage verification responsibilities critical role production support customization application requirement gather analysis troubleshoot administrate production deployment development agile principle develop user interface web ajax jsp strut html cs java script dhtml generalize toplink map template application link relate code separate actual dao implementation  mvc frame preferably web  strut spring dependency injection application customization upgrade multiple action controller control page flow interceptor client validation spring orm package integration layer orm mapping api include hibernate design application new theme custom template user interface jsp html xml xslt cs java script verizon business new theme requirement ajax faster response user refreshing page develop customize dynamic web page develop apis pl sql interact oracle database generalize component accord spring frame retrieve appropriate service require functionality develop xml schema dom xslt code xml document data transfer end middleware layer xml process jaxp enables application parse transform validate query xml document generate web service implementation class weblogicclientgen connect vzwireless cmc utilize service soap ui tool monitor w security concept implement secure web service restrict prescribed user secure customer information implement integration strut spring ioc inject spring bean strut action class develop email template email notification functionality html dhtml xhtml business requirement environment j ee mvc strut java jsp servlets hibernate jstl junit xml html javascript db informix cv unix window xp uml eclipse web logic application server java j ee developer idea cellular ap  responsibility servlets strut jsp java bean develop performance module legacy code involve emi repayment chequebounce deposit module activity involve cod jsp page form bean action class strut create custom tag library support strut frame involve writing validation involve database connectivity jdbc involve write dao develop junittest case perform application test qc team javascript client validation participate weekly project meeting update provide estimate assign task environment java j ee strut jsp jdbc ant xml ibm web sphere wsad junit db rational rise cv soap rup  java jsp j ee rmi java bean jdbc spring java jca servlets jms jndi ssl jakarta strut strut hibernate spring x ejb jsf angular j camel web sphere jboss x x tomcat c c sql pl sql uml sun solaris red hat linux ax hp unix x windows xp vista mac office project ms visio rational suite db oracle g pl sql sql server mysql postgresql access eclipse x x maven ant svn version control cv version hp quality center bm rad soap ui wsdl restful xml html dhtml xml schema dtd cs dhtml javascript ext j dojo jquery ajax soap sax dom xslt xpath additional information technical  java j ee java jsp j ee rmi java bean jdbc spring java jca servlets jms jndi ssl frame jakarta strut strut hibernate spring x ejb jsf angular j camel application server web sphere weblogic jboss x x tomcat languages c c sql pl sql uml operate system sun solaris red hat linux ax hp unix x windows xp vista mac software package office project ms visio rational suite database db oracle g pl sql sql server mysql postgresql access development tool eclipse x x maven ant svn version control cv version hp quality center bm rad web service soap ui wsdl restful web technology xml html dhtml xml schema dtd cs dhtml javascript ext j dojo jquery ajax soap sax dom xslt xpath,Resume NaveenNetDeveloper_46188
tim schannauer electrician helper lane valente industry turnersville nj trained technician strong communication    electrical field utilize ability contribute company success install repair replace residential wiring device construction site preparation read interpret blueprint specification schematic wire diagram troubleshoot electrical circuit conduit bend installation install residential commercial service amp low voltage telecommunication wire termination diagnostic troubleshoot  single polyphase power distribution equipment motor branch control circuit ambitious harding excellent multi task ability customer service professional software microsoft office suite word excel power point      electrician helper lane valente industry bohemia ny  present  responsible assist electrician instal maintain electrical power system  construction sit factory business residence customer service associate township liquor turnersville nj  present year  provide superior customer service assistance locate item verify identification prevent sale alcohol minor ensure shelf aisle fully stock time snow removal crown commercial turnersville nj  present year  remove snow ice street vehicle park area operate control performed preventive maintenance snow plow equipment maintain adherence applicable safety standard theatre assistant united artist movie theatre turnersville nj    provide assistance theater manager maintain smooth operation facility escort direct customer seat answer customer question theater policy protocols  certificate electrical theory safety pennco tech blackwood nj  high school diploma washington township high school sewell nj ,Resume TimSchannauer_22646
electronic technician crestwood ky d     electronic technician kentuckiana comfort center    duty include building wire commercial hvac unit trane substation technician davis h elliot company   year  duty include build substation maintain substation evac technician ci agent solution inc  assist research development product future field installation secondary containment system electrical sub station maintenance duty require   somerset lineman tech center graduate  auto technology south oldham county high school additional information  hour osha training aid cpr certification basic flag smart grid training,Resume ElectronicTechnician_32259
breyonna allen st louis mo   health program representative anthem  present  cashier barista slu hospital    cashier target   sale associate saint louis bread co  year  office clerk king lewis square lease office    highschool diploma roosevelt highschool  microsoft word microsoft office powerpoint year,Resume BreyonnaAllen_22582
occ health lead lpn sheridan wy        occ health lead lpn sheridan memorial hospital sheridan wy  diploma lpn lpn high plain area votch woodward ok    dot certify uds collector bat certify year niosh certify pft year cpr year cohac certify audiogram technician year lpn license year dot uds bat instructor year additional information lpn year  area nurse focus present time occ med resume request reference,Resume OccHealthLeadLPN_44700
patricia patrick lake charles la      assistant store manager party city present server que pasa  high school equivalent sam houston high school  computer  customer service public relation,Resume PatriciaPatrick_19018
technical writer label technical writer label cohoe ny   new york state      technical writer label roche diagnostics diabetes care global product life cycle service   feb dec revise medical device label specification proofread label insert manual quick start guide u international market review label correctness spell format punctuation grammar collaborate international product manager project manager language service graphic designer revision label coordinate approval process final delivery label project manager editorial assistant legislative service agency   jun jul amend legislative bill house printing department legislative session wordperfect insert correction run macro excel note discrepancy discover website migration project copy editor oregon legislative assembly office   copy editor law office oregon legislature legislative session copyedit bill attorney opinion letter lexis verify citation stair database program perform bill research team proofread proof assist compile oregon revise statute copy editor proofreader   jan jun associate copy editor penton technology medium  copy editor follow ly magazine window nt magazine window magazine window net magazine  editor improve readability magazine article correct grammar style accuracy fact correct magazine proof include sql server magazine help maintain style guide proofreader deloitte touche creative service department dallas  proofread proposal advertisement powerpoint slide financial statement brochures big professional service firm check bluelines printer answer style grammar question company employee freelance proofreader american heart association dallas   proofread galley journal article scientific medical journal publisher journal include arteriosclerosis thrombosis vascular biology circulation circulation research hypertension stroke quarkxpress table extension create table journal article software type speed window ms office word excel outlook adobe acrobat quarkxpress sharepoint type w p  design print bill priest institute dallas   bachelor arts behavioral science national university sacramento   certificate psychology social psychology university california davis link http www linkedin com danielbirks,Resume TechnicalWriterLabeling_10525
